order_id,category,product_name,price,quantity,order_date,revenue
1,Health & Beauty,Charlotte Tilbury Lipstick,16.7,2,2019-12-24 15:15:51,33.4
2,Clothing,Levi's 501 Jeans,372.19,1,2022-12-28 15:53:12,372.19
3,Electronics,iPhone 15 Pro,232.71,2,2024-05-30 02:23:11,465.42
4,Books & Media,Kindle Oasis,114.44,4,2019-07-25 16:49:53,457.76
5,Sports & Outdoors,North Face Sleeping Bag,181.35,1,2018-07-13 00:27:57,181.35
6,Health & Beauty,Clinique Cleanser,75.97,1,2019-06-23 20:15:32,75.97
7,Automotive,K&N Air Filter,149.59,4,2017-06-16 21:44:07,598.36
8,Home & Garden,All-Clad Cookware Set,291.57,2,2016-07-20 22:08:33,583.14
9,Health & Beauty,Urban Decay Eyeshadow,112.81,4,2017-02-25 13:52:50,451.24
10,Books & Media,Microsoft Office 365,166.73,3,2025-08-20 11:20:12,500.19
11,Clothing,Gucci Belt,48.73,2,2020-09-26 03:00:14,97.46
12,Electronics,Canon EOS R5,503.94,1,2022-04-12 22:52:31,503.94
13,Home & Garden,Philips Hue Lights,517.66,3,2018-07-31 15:04:50,1552.98
14,Home & Garden,Nest Thermostat,187.37,2,2017-01-10 14:39:27,374.74
15,Books & Media,PlayStation Game,38.37,2,2018-08-05 06:41:22,76.74
16,Sports & Outdoors,Fitbit Charge 5,176.57,2,2021-04-30 22:53:24,353.14
17,Automotive,Rain-X Windshield Treatment,937.92,2,2016-05-11 09:28:41,1875.84
18,Automotive,K&N Air Filter,499.36,1,2019-05-27 22:23:06,499.36
19,Books & Media,MasterClass Subscription,144.99,2,2024-04-22 01:06:19,289.98
20,Sports & Outdoors,Osprey Hiking Pack,550.44,5,2018-03-30 16:53:57,2752.2
21,Home & Garden,Ninja Blender,216.14,2,2025-10-04 10:07:32,432.28
22,Sports & Outdoors,Osprey Hiking Pack,358.45,3,2019-07-18 17:49:32,1075.35
23,Clothing,Converse Chuck Taylor,254.36,1,2017-09-05 06:24:27,254.36
24,Clothing,Ray-Ban Aviators,92.59,4,2016-11-22 16:16:55,370.36
25,Sports & Outdoors,Fitbit Charge 5,365.62,5,2024-10-24 17:35:38,1828.1
26,Home & Garden,Casper Mattress,692.1,1,2017-10-05 17:32:14,692.1
27,Health & Beauty,Foreo Luna Cleaner,112.95,2,2021-08-07 16:59:14,225.9
28,Electronics,Sony WH-1000XM5,897.79,5,2015-11-14 02:19:12,4488.95
29,Health & Beauty,Foreo Luna Cleaner,147.3,1,2024-06-13 13:19:20,147.3
30,Electronics,Canon EOS R5,1269.34,2,2018-05-31 15:23:16,2538.68
31,Home & Garden,Le Creuset Dutch Oven,150.2,1,2021-04-30 03:59:56,150.2
32,Sports & Outdoors,Peloton Bike,84.88,3,2021-01-16 18:10:28,254.64
33,Clothing,Nike Air Max 270,131.82,1,2017-04-09 03:54:42,131.82
34,Health & Beauty,Urban Decay Eyeshadow,165.41,1,2017-12-30 17:28:00,165.41
35,Health & Beauty,Urban Decay Eyeshadow,190.01,1,2020-04-27 22:27:09,190.01
36,Books & Media,Coursera Course,123.29,2,2024-12-27 00:00:20,246.58
37,Automotive,Optima Car Battery,837.15,2,2022-08-08 04:23:16,1674.3
38,Health & Beauty,CeraVe Facial Cleanser,82.2,5,2017-11-14 19:47:51,411.0
39,Clothing,Champion Hoodie,46.05,1,2025-03-27 21:06:29,46.05
40,Clothing,Vans Old Skool,121.81,1,2016-10-24 18:14:09,121.81
41,Clothing,Adidas Ultraboost 22,454.13,3,2017-01-07 05:21:27,1362.39
42,Books & Media,Adobe Creative Suite,59.3,5,2019-06-17 03:39:08,296.5
43,Books & Media,National Geographic Magazine,146.05,5,2019-12-12 20:43:06,730.25
44,Automotive,Chemical Guys Car Wash,974.77,2,2017-06-02 01:13:35,1949.54
45,Electronics,Kindle Paperwhite,890.55,4,2022-10-22 10:21:32,3562.2
46,Sports & Outdoors,Trek Mountain Bike,442.86,1,2016-11-04 13:33:38,442.86
47,Sports & Outdoors,Lululemon Yoga Mat,216.8,1,2020-01-17 00:39:49,216.8
48,Clothing,Champion Hoodie,275.1,1,2022-12-28 09:53:37,275.1
49,Clothing,Under Armour T-Shirt,239.37,1,2023-05-09 10:47:23,239.37
50,Automotive,Armor All Protectant,1031.48,1,2016-09-03 06:37:20,1031.48
51,Health & Beauty,MAC Lipstick,169.17,1,2019-11-01 17:48:29,169.17
52,Clothing,Tommy Hilfiger Polo,250.54,2,2022-08-20 21:48:21,501.08
53,Electronics,MacBook Air M3,789.0,4,2020-04-28 20:17:24,3156.0
54,Automotive,Rain-X Windshield Treatment,562.36,4,2025-04-08 08:31:23,2249.44
55,Health & Beauty,Neutrogena Sunscreen,103.49,2,2020-11-10 14:37:19,206.98
56,Clothing,Nike Air Max 270,295.9,1,2021-02-23 14:29:00,295.9
57,Electronics,iPhone 15 Pro,1189.15,1,2016-10-12 08:50:25,1189.15
58,Books & Media,Harry Potter Box Set,171.01,1,2016-12-20 05:24:07,171.01
59,Health & Beauty,Dyson Hair Dryer,56.22,1,2025-07-03 18:29:56,56.22
60,Clothing,Vans Old Skool,303.34,1,2022-12-11 21:41:37,303.34
61,Health & Beauty,Sephora Makeup Brush Set,118.26,3,2020-04-01 06:32:33,354.78
62,Clothing,Ray-Ban Aviators,362.35,2,2020-05-01 09:39:03,724.7
63,Sports & Outdoors,Patagonia Backpack,409.58,2,2023-08-05 00:36:51,819.16
64,Home & Garden,Vitamix Blender,607.69,1,2015-12-21 19:33:55,607.69
65,Sports & Outdoors,North Face Sleeping Bag,599.1,1,2017-01-22 03:46:25,599.1
66,Books & Media,Adobe Creative Suite,103.65,1,2021-10-01 14:18:48,103.65
67,Electronics,GoPro Hero 12,526.35,2,2018-07-01 03:15:24,1052.7
68,Sports & Outdoors,Trek Mountain Bike,335.07,2,2024-10-23 15:41:50,670.14
69,Electronics,Kindle Paperwhite,1643.35,2,2017-07-29 14:16:56,3286.7
70,Clothing,Under Armour T-Shirt,70.98,1,2025-03-23 13:01:59,70.98
71,Clothing,Under Armour T-Shirt,151.65,2,2021-08-24 12:21:30,303.3
72,Clothing,Ray-Ban Aviators,322.61,2,2024-05-30 10:24:19,645.22
73,Sports & Outdoors,Wilson Tennis Racket,545.1,1,2017-05-20 10:53:18,545.1
74,Health & Beauty,Clinique Cleanser,167.92,1,2015-11-15 23:06:54,167.92
75,Home & Garden,Le Creuset Dutch Oven,126.39,2,2018-07-24 23:11:40,252.78
76,Health & Beauty,Urban Decay Eyeshadow,115.72,4,2025-05-10 06:50:19,462.88
77,Electronics,Samsung Galaxy S24,196.73,1,2025-02-04 02:39:56,196.73
78,Electronics,Canon EOS R5,769.97,1,2023-02-15 12:47:03,769.97
79,Clothing,Nike Air Max 270,164.51,1,2021-11-25 06:43:25,164.51
